frame,variant,avg_atr_slope,avg_impulse_strength_ratio,avg_loss_rub,avg_range_atr_ratio,avg_retest_bars,avg_signal_score,avg_win_rub,expectancy_rub,interesting_candidate,max_drawdown_rub,n_limit_entries,n_market_entries,n_trades,pct_fast_retest_le2_bars,pct_market_entries,pct_trades_atr_slope_ge_min_expansion,pct_trades_range_atr_ge_min,pnl_without_top_1_trade,pnl_without_top_2_trades,profit_factor,sharpe_like_pnl,total_pnl_net_rub,trades_by_setup_tag_json,winrate
history_1h_24m.csv,baseline_no_score_filter,1.2371300789806097,0.5604295449134584,-157.28441953064137,4.962437694220453,0.75,0.6626582405957817,88.55248953044824,-34.36596500009657,False,443.12810437027514,1,7,8,100.0,87.5,62.5,100.0,-461.17997348269387,-547.376280928487,0.5630086552418937,-0.23470102136786913,-274.9277200007726,"{""pullback"": 4, ""retest_fast"": 4}",0.5
history_1h_24m.csv,old_score_legacy_combo_min_0.6,1.1853084797297282,0.5209035710968701,-114.93218777070483,4.856719892016477,0.6,0.7246857313910141,100.26338389205861,-28.853959105599454,False,292.5407812615488,1,4,5,100.0,80.0,60.0,100.0,-292.5407812615488,-344.7965633121145,0.5815799492252993,-0.22950762742447137,-144.26979552799727,"{""pullback"": 3, ""retest_fast"": 2}",0.4
history_1h_24m.csv,split_factors_default_min_0.6,1.1853084797297282,0.5209035710968701,-114.93218777070483,4.856719892016477,0.6,0.7246857313910141,100.26338389205861,-28.853959105599454,False,292.5407812615488,1,4,5,100.0,80.0,60.0,100.0,-292.5407812615488,-344.7965633121145,0.5815799492252993,-0.22950762742447137,-144.26979552799727,"{""pullback"": 3, ""retest_fast"": 2}",0.4
history_1h_24m.csv,factor_weights_from_factor_edge_summary.json_min_0.6,1.3935826073473563,0.3420814350661289,-93.18790768708827,5.066644884816308,1.2,0.6829089553387631,74.75149081142295,41.163611111720705,False,93.18790768708827,1,4,5,100.0,80.0,100.0,100.0,57.68450384099708,-15.582630036391052,3.208634796799079,0.46272825653601446,205.81805555860353,"{""pullback"": 1, ""retest_fast"": 4}",0.8
history_1h_24m.csv,split_top3_per_day_min0.5,1.2371300789806097,0.5604295449134584,-103.42201125338093,4.962437694220453,0.75,0.6626582405957817,64.81378319183182,-19.304114030774553,False,292.5407812615488,1,7,8,100.0,87.5,62.5,100.0,-302.7038979797479,-354.9596800303136,0.6266923492044641,-0.19093034428385866,-154.43291224619642,"{""pullback"": 4, ""retest_fast"": 4}",0.5
history_1h_6m.csv,baseline_no_score_filter,1.2371300793372084,0.5604295449134584,-157.28441913285425,4.962437699698995,0.75,0.6622314633322751,88.55248953044824,-34.365964801203006,False,443.1281027791266,1,7,8,100.0,87.5,62.5,100.0,-461.1799718915453,-547.3762793373384,0.5630086566657957,-0.23470102057199607,-274.92771840962405,"{""pullback"": 4, ""retest_fast"": 4}",0.5
history_1h_6m.csv,old_score_legacy_combo_min_0.6,1.1853084803002862,0.5209035710968701,-114.79185318104668,4.856719900782143,0.6,0.7240028877694036,100.26338389205861,-28.76975835180456,False,292.11977749257426,1,4,5,100.0,80.0,60.0,100.0,-292.11977749257426,-344.37555954313996,0.5822909385617918,-0.2289282207856175,-143.8487917590228,"{""pullback"": 3, ""retest_fast"": 2}",0.4
history_1h_6m.csv,split_factors_default_min_0.6,1.1853084803002862,0.5209035710968701,-114.79185318104668,4.856719900782143,0.6,0.7240028877694036,100.26338389205861,-28.76975835180456,False,292.11977749257426,1,4,5,100.0,80.0,60.0,100.0,-292.11977749257426,-344.37555954313996,0.5822909385617918,-0.2289282207856175,-143.8487917590228,"{""pullback"": 3, ""retest_fast"": 2}",0.4
history_1h_6m.csv,factor_weights_from_factor_edge_summary.json_min_0.6,1.3935826073473563,0.3420814350661289,-93.18790768708827,5.066644884816308,1.2,0.6829089553387631,74.75149081142295,41.163611111720705,False,93.18790768708827,1,4,5,100.0,80.0,100.0,100.0,57.68450384099708,-15.582630036391052,3.208634796799079,0.46272825653601446,205.81805555860353,"{""pullback"": 1, ""retest_fast"": 4}",0.8
history_1h_6m.csv,split_top3_per_day_min0.5,1.2371300793372084,0.5604295449134584,-103.3167603111373,4.962437699698995,0.75,0.6622314633322751,64.81378319183182,-19.251488559652742,False,292.11977749257426,1,7,8,100.0,87.5,62.5,100.0,-302.2828942107734,-354.5386762613391,0.6273307737935822,-0.1904869445967164,-154.01190847722194,"{""pullback"": 4, ""retest_fast"": 4}",0.5
history_5m_6m.csv,baseline_no_score_filter,1.17642644038256,4.67015346904237,-70.26569575677885,4.8438405957508746,0.2,0.6559656276073894,29.276285855558495,-40.403101273077645,False,1212.0930381923297,0,30,30,96.66666666666667,100.0,43.333333333333336,100.0,-1279.0098910318025,-1342.2548853080152,0.17856479633835756,-0.5221109898328067,-1212.0930381923295,"{""continuation"": 1, ""pullback"": 27, ""retest_fast"": 1, ""retest_late"": 1}",0.3
history_5m_6m.csv,old_score_legacy_combo_min_0.6,1.2363345175297895,7.8521838241424975,-39.45289417265221,4.41019090913767,0.29411764705882354,0.7449014701907418,23.853388253414362,-24.55729830769537,False,472.3257153493415,0,17,17,94.11764705882354,100.0,47.05882352941177,100.0,-465.7211221280813,-497.186552755364,0.18603208286456246,-0.7529581907273678,-417.47407123082127,"{""pullback"": 16, ""retest_late"": 1}",0.23529411764705882
history_5m_6m.csv,split_factors_default_min_0.6,1.2363345175297895,7.8521838241424975,-39.45289417265221,4.41019090913767,0.29411764705882354,0.7449014701907418,23.853388253414362,-24.55729830769537,False,472.3257153493415,0,17,17,94.11764705882354,100.0,47.05882352941177,100.0,-465.7211221280813,-497.186552755364,0.18603208286456246,-0.7529581907273678,-417.47407123082127,"{""pullback"": 16, ""retest_late"": 1}",0.23529411764705882
history_5m_6m.csv,factor_weights_from_factor_edge_summary.json_min_0.6,1.6110584118287543,15.685624319186042,-34.47802329728176,3.8259095548939115,0.125,0.7594517010601288,24.62937926117162,-19.701172657668415,False,198.7384357438956,0,8,8,100.0,100.0,100.0,100.0,-198.7384357438956,-206.86813978369057,0.238116698752404,-0.5428126130600607,-157.60938126134732,"{""pullback"": 7, ""retest_fast"": 1}",0.25
history_5m_6m.csv,split_top3_per_day_min0.5,1.1907785779317286,4.978863462851177,-45.27923443661117,4.849973472746169,0.21428571428571427,0.6679907411642566,16.880198192811662,-27.519396542490362,False,770.5431031897302,0,28,28,96.42857142857143,100.0,46.42857142857143,100.0,-818.7901540869901,-850.2555847142729,0.1491208798279764,-0.5816733787188383,-770.5431031897301,"{""continuation"": 1, ""pullback"": 25, ""retest_fast"": 1, ""retest_late"": 1}",0.2857142857142857
