factor,bin,n,avg_pnl,median_pnl,winrate,profit_factor,pnl_wo_top1
alpha_v3_dist_local_high_atr,1,3,-3.976047364955986,-7.62607159479035,0.3333333333333333,0.35739103797790006,-18.562053752461885
alpha_v3_dist_local_high_atr,2,3,-8.985621133323209,-9.254508149328728,0.0,0.0,-19.25523655860572
alpha_v3_dist_local_high_atr,3,3,-10.27974212647842,-8.630452279921611,0.0,0.0,-22.357167305263975
alpha_v3_dist_local_low_atr,0,3,8.459517423527178,-9.195085257999963,0.3333333333333333,2.2606660017851317,-20.1310674156715
alpha_v3_dist_local_low_atr,1,3,-2.434788253205852,-1.583414440467699,0.0,0.0,-6.841826021340488
alpha_v3_dist_local_low_atr,2,3,-3.9496252752847845,-8.48205907417129,0.3333333333333333,0.35892376426092293,-18.48278748344828
alpha_v3_dist_local_low_atr,3,3,-10.01959804887596,-8.630452279921611,0.0,0.0,-22.35716730526397
alpha_v3_dist_local_low_atr,4,3,-4.987751814734248,-7.62607159479035,0.3333333333333333,0.11358166182558377,-16.88057974411908
alpha_v3_fail_break_2bar_dn,0,15,-2.5864491937147336,-7.7016268413639075,0.2,0.5821910042817768,-84.30635759197403
alpha_v3_lower_shadow_frac,0,9,0.4663374192876749,-7.62607159479035,0.3333333333333333,1.0841699827387168,-41.312582912663956
alpha_v3_lower_shadow_frac,1,3,-6.677669282598797,-9.195085257999963,0.0,0.0,-18.449593407328692
alpha_v3_lower_shadow_frac,2,3,-7.653588943837896,-7.7016268413639075,0.0,0.0,-17.7023552506409
alpha_v3_minute_of_day_norm,0,3,-6.160042179943857,-7.7016268413639075,0.0,0.0,-16.89671209936387
alpha_v3_minute_of_day_norm,1,3,10.589716343736319,-5.258411580872789,0.3333333333333333,3.3120859415064223,-13.740470655044078
alpha_v3_minute_of_day_norm,2,3,-3.999089677201558,-8.630452279921611,0.3333333333333333,0.3560650163969441,-18.6311806891986
alpha_v3_minute_of_day_norm,3,3,-7.021299624918252,-9.254508149328728,0.3333333333333333,0.08343003700645162,-22.981223174671086
alpha_v3_minute_of_day_norm,4,3,-6.341530830246318,-7.62607159479035,0.0,0.0,-18.562053752461885
alpha_v3_pin_bar_score,0,15,-2.5864491937147336,-7.7016268413639075,0.2,0.5821910042817768,-84.30635759197403
alpha_v3_pos_in_range_30,0,3,-11.048252085728395,-10.935982157671535,0.0,0.0,-24.662697183013897
alpha_v3_pos_in_range_30,1,3,-1.0277117433372895,-0.46253873827706826,0.3333333333333333,0.6827086186087624,-9.717046887605797
alpha_v3_pos_in_range_30,2,3,-7.653588943837896,-7.7016268413639075,0.0,0.0,-17.7023552506409
alpha_v3_pos_in_range_30,3,3,-2.430720578447239,-1.583414440467699,0.3333333333333333,0.20819015225995824,-9.209486035258049
alpha_v3_pos_in_range_30,4,3,9.228027382777151,-8.630452279921611,0.3333333333333333,2.5530573532179366,-17.825537537921576
alpha_v3_ret5_atr_norm,0,3,-8.528862423538083,-8.630452279921611,0.0,0.0,-17.884960429250338
alpha_v3_ret5_atr_norm,1,3,-8.870399400335167,-7.62607159479035,0.0,0.0,-21.35278662013271
alpha_v3_ret5_atr_norm,2,3,-6.339795422344065,-10.000728409276991,0.3333333333333333,0.09157715075562502,-20.936710566948527
alpha_v3_ret5_atr_norm,3,3,-1.1438539523483533,-1.583414440467699,0.3333333333333333,0.6590759637830971,-10.065473514638988
alpha_v3_ret5_atr_norm,4,3,11.950665229992,-0.46253873827706826,0.3333333333333333,4.712299806225297,-9.657623996277032
alpha_v3_tr_over_atr_pctile,0,3,-10.993983861316027,-10.000728409276991,0.0,0.0,-23.727443434619353
alpha_v3_tr_over_atr_pctile,1,3,-7.986050238691956,-7.7016268413639075,0.0,0.0,-16.33207912128552
alpha_v3_tr_over_atr_pctile,2,3,-8.225484270905204,-8.48205907417129,0.0,0.0,-19.418041231842825
alpha_v3_tr_over_atr_pctile,3,3,-0.2146164334965676,1.9173242999163325,0.6666666666666666,0.929978974373344,-7.27776095808363
alpha_v3_tr_over_atr_pctile,4,3,14.487888835836088,-0.46253873827706826,0.3333333333333333,22.243724909762637,-2.0459531787447673
alpha_v3_upper_shadow_frac,0,6,0.7872192194696283,-8.166039560642758,0.16666666666666666,1.1158064058472865,-40.78630436943526
alpha_v3_upper_shadow_frac,1,3,-10.20243158982048,-9.254508149328728,0.0,0.0,-22.98122317467109
alpha_v3_upper_shadow_frac,2,3,-7.000485224103508,-8.48205907417129,0.0,0.0,-19.418041231842825
alpha_v3_upper_shadow_frac,3,3,2.6962324064110645,1.9173242999163325,0.6666666666666666,18.487610333705565,1.454785561639265
alpha_v3_zscore_20,0,3,-8.960436051132023,-9.254508149328728,0.0,0.0,-19.25523655860572
alpha_v3_zscore_20,1,3,-8.271379398485603,-8.48205907417129,0.0,0.0,-17.1125113540929
alpha_v3_zscore_20,2,3,-3.186827360316799,-5.258411580872789,0.3333333333333333,0.40964248274416937,-16.194393738544324
alpha_v3_zscore_20,3,3,-4.464268388631242,-1.583414440467699,0.3333333333333333,0.1252324027826166,-15.31012946581006
alpha_v3_zscore_20,4,3,11.950665229992,-0.46253873827706826,0.3333333333333333,4.712299806225297,-9.657623996277032
alpha_vol_roll_pctile,0,3,-10.20243158982048,-9.254508149328728,0.0,0.0,-22.98122317467109
alpha_vol_roll_pctile,1,3,-5.573428233039704,-7.7016268413639075,0.3333333333333333,0.10287394160997584,-18.637608999035443
alpha_vol_roll_pctile,2,9,0.947871284762172,-5.258411580872789,0.2222222222222222,1.1956045730199032,-36.97877812339348
alpha_wick_lower_ratio,0,9,0.4663374192876749,-7.62607159479035,0.3333333333333333,1.0841699827387168,-41.312582912663956
alpha_wick_lower_ratio,1,3,-6.677669282598797,-9.195085257999963,0.0,0.0,-18.449593407328692
alpha_wick_lower_ratio,2,3,-7.653588943837896,-7.7016268413639075,0.0,0.0,-17.7023552506409
alpha_wick_upper_ratio,0,6,0.7872192194696283,-8.166039560642758,0.16666666666666666,1.1158064058472865,-40.78630436943526
alpha_wick_upper_ratio,1,3,-10.20243158982048,-9.254508149328728,0.0,0.0,-22.98122317467109
alpha_wick_upper_ratio,2,3,-7.000485224103508,-8.48205907417129,0.0,0.0,-19.418041231842825
alpha_wick_upper_ratio,3,3,2.6962324064110645,1.9173242999163325,0.6666666666666666,18.487610333705565,1.454785561639265
raw_atr_expansion,0,3,-9.68480448716554,-7.7016268413639075,0.0,0.0,-21.42834186670627
